x5 , bmw , 2017 , 170660 , 29000 , 231 , diesel
x1 , bmw , 2019 , 43900 , 34870 , 190 , diesel
q7 , audi , 2016 , 149000 , 40000 , 272 , diesel
polo , volkswagen , 2010 , 180000 , 3500 , 90 , diesel
focus , ford , 2011 , 148000 , 6650 , 150 , gasoline
cayenne , porsche , 2020 , 25000 , 91630 , 440 , gasoline
corolla , toyota , 2020 , 2312 , 22300 , 98 , hybrid
yaris , toyota , 2004 , 120000 , 4300 , 105 , gasoline
tiguan , volkswagen , 2018 , 73000 , 20900 , 150 , gasoline
tiguan , volkswagen , 2016 , 72640 , 24730 , 150 , diesel
